NAME OF COMPANY,SYMBOL,SECTOR
Sarla Performance Fibers Ltd,SARLAPOLY,Textiles
Sarthak Global Ltd.,SARTHAKGL,Services
Sarthak Industries Ltd.,SARTHAKIND,Services
Sarthak Metals Limited,SMLT,Capital Goods
SARUP INDUSTRIES LIMITED,SARUPINDUS,Consumer Durables
"Sarvamangal Mercantile Co. Ltd.,",ZSARVAMA,Services
Sarvottam Finvest Limited,SARVOTTAM,Financial Services
Sashwat Technocrats Limited,SASHWAT,Construction Materials
Sasken Technologies Limited,SASKEN,Information Technology
Sastasundar Ventures Limited,SASTASUNDR,Healthcare
Sat Industries Ltd,SATINDLTD,Financial Services
Sathavahana Ispat Ltd.,SATHAISPAT,Metals & Mining
SATIA INDUSTRIES LIMITED,SATIA,Forest Materials
SATIN CREDITCARE NETWORK LIMITED,SATIN,Financial Services
Satra Properties(India) Ltd,SATRAPROP,Realty
Satyam Silk Mills Ltd,ZSATYASL,Financial Services
Saumya Consultants Ltd.,SAUMYA,Financial Services
Saurashtra Cement Limited,SAURASHCEM,Construction Materials
Savant Infocomm Limited,SAVINFOCO,Capital Goods
Saven Technologies Ltd.,7TEC,Information Technology
Savera Industries Ltd.,SAVERA,Consumer Services
Savita Oil Technologies Limited,SOTL,"Oil, Gas & Consumable Fuels"
Sawaca Business Machines Ltd.,SAWABUSI,Services
Sayaji Hotel Ltd,SAYAJIHOTL,Consumer Services
Sayaji Industries Limited,SAYAJIIND,Fast Moving Consumer Goods
SBC EXPORTS LIMITED,SBC,Services
SBEC Sugar Ltd.,SBECSUG,Fast Moving Consumer Goods
SBEC Systems (Ind) Ltd.,SBECSYS,Services
SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD,Financial Services
SBI Life Insurance Company Limited,SBILIFE,Financial Services
SBL Infratech Limited,SBLI,Realty
SC Agrotech Limited,SCAGRO,Fast Moving Consumer Goods
Scan Projects Ltd,SCANPRO,Construction Materials
Scan Steels Limited,SCANSTL,Metals & Mining
Scandent Imaging Limited,SCANDENT,Healthcare
Scanpoint Geomatics Limited,SCANPGEOM,Information Technology
Schaeffler India Limited,SCHAEFFLER,Automobile and Auto Components
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER,Capital Goods
Scintilla Commercial & Credit  Limited,SCC,Financial Services
SCOOBEE DAY GARMENTS (INDIA) LIMITED,SCOOBEEDAY,Textiles
"Scooters India Ltd.,",SCOOTER,Automobile and Auto Components
SDC TECHMEDIA LIMITED,SDC,"Media, Entertainment & Publication"
SEA TV Network Limited,SEATV,"Media, Entertainment & Publication"
SEACOAST SHIPPING SERVICES LIMITED,SEACOAST,Services
Seamec Ltd,SEAMECLTD,Services
Seasons Textiles Ltd,SEASONST,Textiles
Secmark Consultancy Limited,SECMARK,Information Technology
SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD,Information Technology
SEJAL GLASS LIMITED,SEJAL,Capital Goods
Selan Exploration Technology Ltd.,SELAN,"Oil, Gas & Consumable Fuels"
SELLWIN TRADERS LIMITED,SELLWIN,Services
Senthil Infotek Limited,SENINFO,Information Technology
SEPC LIMITED,SEPC,Construction
Sequent Scientific Limited,SEQUENT,Healthcare
SERA INVESTMENTS & FINANCE INDIA LIMITED,SERA,Financial Services
SERVOTEACH INDUSTRIES LTD,SERVOTEACH,Capital Goods
"Seshasayee Paper & Boards Ltd.,",SESHAPAPER,Forest Materials
Setco Automotive Limited,SETCO,Automobile and Auto Components
SETUBANDHAN INFRASTRUCTURE LIMITED,SETUINFRA,Construction
Seven Hill Industries Limited,SEVENHILL,Financial Services
Seya Industries Ltd,SEYAIND,Chemicals
SGN Telecoms Ltd.,SGNTE,Capital Goods
Shah Alloys Limited,SHAHALLOYS,Capital Goods
"Shah Construction Co. Ltd.,",SHAHCON,Realty
Shah Foods Ltd,SHAHFOOD,Fast Moving Consumer Goods
Shahlon Silk Industries Limited,SHAHLON,Textiles
Shaily Engineering Plastics Ltd.,SHAILY,Capital Goods
Shakti Pumps (India) Ltd.,SHAKTIPUMP,Capital Goods
Shalby Limited,SHALBY,Healthcare
Shalibhadra Finance Ltd.,SAHLIBHFI,Financial Services
Shalimar Paints Ltd.,SHALPAINTS,Consumer Durables
Shalimar Productions Ltd.,SHALPRO,"Media, Entertainment & Publication"
Shalimar Wires Industries Ltd.,SHALIWIR,Metals & Mining
Shamrock Industrial Co. Ltd.,SHAMROIN,Services
SHANGAR DECOR LIMITED,SHANGAR,Services
Shankar Lal Rampal Dye-Chem Limited,SRD,Chemicals
Shankara Building Products Limited,SHANKARA,Consumer Services
Shantai Industries Limited,SHANTAI,Capital Goods
Shantanu Sheorey Aquakult ltd.,SHAQUAK,Fast Moving Consumer Goods
"Shanthi Gears Ltd.,",SHANTIGEAR,Capital Goods
Shanti Educational Initiatives Limited,SEIL,Consumer Services
Sharad Fibers & Yarn Processors Ltd,SHARDFI,Textiles
SHARANAM INFRAPROJECT AND TRADING LIMITED,SIPTL,Services
Sharat Industries Ltd.,SHINDL,Fast Moving Consumer Goods
Sharda Cropchem Limited,SHARDACROP,Chemicals
Sharda Ispat Ltd.,SHRDAIS,Capital Goods
Sharda Motor Industries Ltd,SHARDA,Automobile and Auto Components
Shardul Securities Ltd.,SHARDUL,Financial Services
Share India Securities Limited,SHAREINDIA,Financial Services
SHARIKA ENTERPRISES LIMITED,SHARIKA,Services
Sharp India Ltd,SHARP,Consumer Durables
SHARP INVESTMENTS LTD,SHARPINV,Financial Services
SHARPLINE BROADCAST LIMITED,SHARPLINE,"Media, Entertainment & Publication"
Shashank Traders Limited,SHASHANK,Services
Shashijit Infraprojects Limited,SHASHIJIT,Construction
Shashwat Furnishing Solutions Limited,SFSL,Consumer Durables
Sheela Foam Limited,SFL,Consumer Durables
SHEETAL COOL PRODUCTS LIMITED,SCPL,Fast Moving Consumer Goods
Sheetal Diamonds Ltd.,SHEETAL,Consumer Durables
Shelter Infra Projects Limited,SIPL,Construction
SHEMAROO ENTERTAINMENT LIMITED,SHEMAROO,"Media, Entertainment & Publication"
"Sheraton Properties & Finance Ltd.,",ZSHERAPR,Financial Services
Shervani Industrial syndicate Ltd,SHERVANI,Realty
SHESHADRI INDUSTRIES LIMITED,SHESHAINDS,Textiles
Shetron Ltd.,SHETR,Capital Goods
Shikhar Leasing and Trading Ltd.,SHIKHARLETR,Financial Services
Shilchar Technologies Ltd.,SHILCTECH,Capital Goods
Shilp Gravures Ltd.,SHILGRAVQ,Capital Goods
Shilpa Medicare Ltd.,SHILPAMED,Healthcare
Shine Fashions (India) Limited,SHINEFASH,Textiles
Shipping Corporation Of India Ltd,SCI,Services
Shish Industries Limited,SHISHIND,Capital Goods
Shiva Cement Ltd.,SHIVACEM,Construction Materials
Shiva Global Agro Industries Limited,SHIVAAGRO,Chemicals
Shiva Granito Export Limited,SHIVAEXPO,Construction Materials
Shiva Mills Limited,SHIVAMILLS,Textiles
"Shiva Suitings Ltd.,",SHVSUIT,Services
Shiva Texyarn Ltd.,SHIVTEX,Textiles
Shivagrico Implements Ltd.,SHIVAGR,Capital Goods
"Shivalik Bimetal Controls Ltd.,",SHBCLQ,Capital Goods
Shivalik Rasayan Ltd.,SHIVALIK,Chemicals
SHIVAM AUTOTECH LIMITED,SHIVAMAUTO,Automobile and Auto Components
Shivansh Finserv Limited,SHIVA,Financial Services
Shivkamal Impex Limited,SHIVKAMAL,Financial Services
Shoppers Stop Ltd,SHOPERSTOP,Consumer Services
Shree Ajit Pulp And Paper Ltd.,SAPPL,Forest Materials
Shree Bhavya Fabrics Limited,SBFL,Textiles
"Shree Bhawani Paper Mills Ltd.,",SHBHAWPA,Forest Materials
"Shree Cements Ltd.,",SHREECEM,Construction Materials
"Shree Digvijay Cement Co. Ltd.,",SHREDIGCEM,Construction Materials
Shree Ganesh Biotech (India) Limited,SHREEGANES,Healthcare
Shree Ganesh Elastoplast Ltd,SHGANEL,Services
Shree Ganesh Remedies Limited,SGRL,Healthcare
Shree Global  Tradefin  L t d..,SHRGLTR,Financial Services
SHREE HANUMAN SUGAR & INDUSTRIES LTD.,HANSUGAR,Fast Moving Consumer Goods
"Shree Hari Chemicals Export Ltd.,",SHHARICH,Chemicals
Shree Karthik Papers Ltd.,SHKARTP,Forest Materials
Shree Krishna Infrastructure Limited,SKIFL,Realty
Shree Krishna Paper Mills & Industr,SKPMIL,Forest Materials
"Shree Manufacturing Co. Ltd.,",SHRMFGC,Textiles
Shree Metalloys Limited,SHREMETAL,Financial Services
Shree Pacetronix Ltd,SHREEPAC,Healthcare
Shree Precoated Steels Limited,SPSL,Capital Goods
Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK,Chemicals
Shree Rama Multi-tech Ltd.,SHREERAMA,Capital Goods
Shree Rama Newsprint Limited,RAMANEWS,Forest Materials
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods
"Shree Salasar Investment Ltd.,",SALSAIN,Financial Services
Shree Steel Wire Ropes Ltd.,SSWRL,Capital Goods
Shree Vatsaa Finance & Leasing Ltd.,SHVFL,Services
Shree Worstex Limited,SHWL,Financial Services
Shreeji Translogistics Limited,STL,Services
"Shreenath Investments Co. Ltd.,",SHRENTI,Services
Shreeshay Engineers Limited,SHREESHAY,Construction
"Shreyans Industries Limited.,",SHREYANIND,Forest Materials
Shreyas Intermediates Ltd.,SHREYASI,Chemicals
Shreyas Shipping And Logistics Limited,SHREYAS,Services
SHRI BAJRANG ALLIANCE LIMITED,SHBAJRG,Capital Goods
Shri Bholanath Carpets Limited,SHRIBCL,Consumer Durables
"Shri Dinesh Mills Ltd.,",SHRIDINE,Textiles
Shri Gang Industries & Allied Products Limited,SHRIGANG,Fast Moving Consumer Goods
Shri Jagdamba Polymers Ltd,SHRJAGP,Capital Goods
Shri Kalyan Holdings Ltd.,SHKALYN,Services
Shri Keshav Cements and Infra Limited,SKCIL,Construction Materials
Shri Krishna Devcon Limited,SHRIKRISH,Realty
Shri Niwas Leasing and Finance Limited,SHRINIWAS,Financial Services
Shri Venkatesh Refineries Limited,SVRL,Fast Moving Consumer Goods
"Shricon Industries Ltd.,",SHRICON,Financial Services
Shriram Asset Management Co.Ltd.,SRAMSET,Financial Services
Shriram Properties Limited,SHRIRAMPPS,Realty
Shriram Transport Finance Co. Ltd.,SRTRANSFIN,Financial Services
Shriram-City Union Finance Ltd.,SHRIRAMCIT,Financial Services
SHRISTI INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,SHRISTI,Realty
Shubham Polyspin Limited,SHUBHAM,Textiles
Shukra Bullions Limited,SKRABUL,Services
Shukra Jewellers Limited,SHUKJEW,Consumer Durables
Shukra Pharmaceuticals Limited,SHUKRAPHAR,Healthcare
Shyam Century Ferrous Limited,SCFL,Metals & Mining
Shyam Metalics and Energy Limited,SHYAMMETL,Metals & Mining
Shyam Telecom Ltd.,SHYAMTEL,Services
"Shyamkamal Investments Ltd.,",SHYMINV,Financial Services
Sibar Auto Parts Ltd.,SIBARAUT,Automobile and Auto Components
Sicagen India Limited,SICAGEN,Services
Sical Logistics Limited,SICAL,Services
Siddha Ventures Limited,SIDDHA,Financial Services
Siddheswari Garments Ltd.,SIDDHEGA,Services
Siel Financial Services Ltd.,SIELFNS,Financial Services
"Siemens Ltd.,",SIEMENS,Capital Goods
Sigachi Industries Limited,SIGACHI,Healthcare
Signet Industries Limited,SIGNETIND,Services
"Sika Interplant Systems Ltd.,",SIKA,Capital Goods
Sikozy Realtors Limited,SIKOZY,Realty
SIL Investments Ltd,SILINV,Financial Services
Silver Oak (India) Ltd.,SILVOAK,Fast Moving Consumer Goods
"Silver oak Commercial Ltd.,",SILVERO,Financial Services
Silver Pearl Hospitality & Luxury Spaces Limited,SILVERPRL,Consumer Services
Silver Touch Technologies Limited,SILVERTUC,Information Technology
Simbhaoli Sugars Ltd,SIMBHALS,Fast Moving Consumer Goods
Simmonds-Marshall Ltd,SIMMOND,Automobile and Auto Components
Simplex Castings Ltd.,SIMPLEXCAS,Capital Goods
Simplex Infrastructures Limited,SIMPLEXINF,Construction
SIMPLEX MILLS COMPANY LIMITED,SIMPLXMIL,Textiles
SIMPLEX PAPERS LTD.,SIMPLXPAP,Forest Materials
Simplex Realty Limited,SIMPLXREA,Realty
Simran Farms Ltd.,SIMRAN,Fast Moving Consumer Goods
Sinclairs Hotels  Ltd,SINCLAIR,Consumer Services
Sindhu Trade Links Limited,SINDHUTRAD,Services
Sindu Valley Technologies Ltd.,SINDUVA,Information Technology
Singer India Limited,SINGER,Consumer Durables
"Sinnar Bidi Udyog Ltd.,",SINNAR,Fast Moving Consumer Goods
Sintex Plastics Technology Ltd.,SINTEXPLAST,Capital Goods
SIP Industries Ltd,SIPIND,Fast Moving Consumer Goods
Sir Shadi Lal Enterprises Ltd,SSLEL,Fast Moving Consumer Goods
Sirohia & Sons Limited,SIROHIA,Services
SIS LIMITED,SIS,Services
Sita Enterprises LTD.,SITAENT,Services
Siti Networks Limited,SITINET,"Media, Entertainment & Publication"
"Siyaram Silk Mills Ltd.,",SIYSIL,Textiles
SJ Corporation Limited,SJCORP,Consumer Durables
SJVN LIMITED,SJVN,Power
SK International Export Limited,SKIEL,Consumer Durables
SKF India Ltd.,SKFINDIA,Capital Goods
Skipper Limited,SKIPPER,Capital Goods
SKM Egg Products Exports (India) Lt,SKMEGGPROD,Fast Moving Consumer Goods
SKP Securities Ltd.,SKPSEC,Financial Services
SKY GOLD LIMITED,SKYGOLD,Consumer Durables
Sky Industries Ltd,SKYIND,Textiles
Skyline Millars Ltd,SKYLMILAR,Realty
SM Auto Stamping Limited,SMAUTO,Capital Goods
Smart Finsec Limited,SMARTFIN,Financial Services
Smartlink Holdings Limited,SMARTLINK,Information Technology
SMC Credits ltd.,SMCREDT,Financial Services
SMC Global Securities Limited,SMCGLOBAL*,Financial Services
"SMIFS Capital Markets Ltd.,",SMIFS,Financial Services
Smiths & Founders (India) Limited,SMFIL,Capital Goods
SML ISUZU LIMITED,SMLISUZU,Capital Goods
Smruthi Organics Limited,SMRUTHIORG,Healthcare
SMS Lifesciences India Ltd,SMSLIFE,Healthcare
SMS Pharmaceuticals Ltd,SMSPHARMA,Healthcare
SNL Bearings Ltd.,SNL,Capital Goods
SNOWMAN LOGISTICS LIMITED,SNOWMAN,Services
Sobha Limited,SOBHA,Realty
Sobhagya Merchantile Ltd.,SOBME,Services
SOFCOM SYSTEMS LIMITED,SOFCOM,Information Technology
Softbpo Global Services Ltd.,SOFTBPO,Information Technology
SoftSol India Limited.,SOFTSOL,Information Technology
SoftTech Engineers Limited,SOFTTECH,Information Technology
Solar Industries India Limited,SOLARINDS,Chemicals
SOLARA ACTIVE PHARMA SCIENCES LIMITED,SOLARA,Healthcare
Solid Stone Company Ltd.,SOLIDSTON,Construction Materials
Solitaire Machine Tools Ltd,SOLIMAC,Capital Goods
Som Datt Finance Corporation Ltd.,SODFC,Financial Services
Som Distilleries & Breweries Ltd.,SDBL,Fast Moving Consumer Goods
Soma Textile & Industries Ltd,SOMATEX,Textiles
Somany Ceramics Limited,SOMANYCERA,Consumer Durables
Somany Home Innovation Limited,SHIL,Consumer Durables
SOMI CONVEYOR BELTINGS LIMITED,SOMICONV,Capital Goods
Sona BLW Precision Forgings Limited,SONACOMS,Automobile and Auto Components
Sonal Mercantile Limited,SONAL,Financial Services
Sonata Software Ltd.,SONATSOFTW,Information Technology
Soni Medicare Limited,SML,Healthcare
Sophia Traexpo Limited,STRAEXPO,Forest Materials
SORIL Infra Resources Limited,SORILINFRA,Diversified
Source Natural Foods & Herbal Suppl Ltd,SOURCENTRL,Healthcare
South India Paper Mills Ltd.,STHINPA,Forest Materials
South Indian Bank Ltd.,SOUTHBANK,Financial Services
"Southern Gas Ltd.,",ZSOUTGAS,Chemicals
Southern Infosys Limited,SOUTHERNIN,Information Technology
Southern Latex Ltd.,SOUTLAT,Textiles
Southern Magnesium And Chemicals Lt,SOUTHMG,Metals & Mining
Southern Petrochemical Industries Corporation Limited,SPIC,Chemicals
Sovereign Diamonds Ltd,SOVERDIA,Consumer Durables
SPA Capital Services Limited,SPACAPS,Financial Services
Space Incubatrics Technologies Limited,SPACEINCUBA,Information Technology
Span Divergent Limited,SDL,Healthcare
Spandana Sphoorty Financial Limited,SPANDANA,Financial Services
Speciality Restaurants Limited,SPECIALITY,Consumer Services
Spectra Industries Ltd.,SPECTRA,Automobile and Auto Components
"Speedage Commercials Ltd.,",ZSPEEDCO,Financial Services
SPEL Semiconductor Ltd.,SPELS,Capital Goods
Spencer's Retail Limited,SPENCER,Consumer Services
Spenta International Ltd.,SPENTA,Consumer Durables
Spentex Industries Ltd.,SPENTEX,Textiles
Spice Islands Apparels ltd.,SPICEISL,Consumer Durables
SpiceJet Limited,SPICEJET,Services
Spicy Entertainment and Media Limited,SPICY,"Media, Entertainment & Publication"
SPL INDUSTRIES LIMITED,SPLIL,Textiles
SPML Infra Limited,SPMLINFRA,Construction
Sportking India Ltd.,SPORTKING,Textiles
Sprayking Agro Equipment Limited,SPRAYKING,Capital Goods
SPS Finquest Limited,SPS,Financial Services
SPV GLOBAL TRADING LIMITED,SPVGLOBAL,Financial Services
Square Four Projects India Limited,SFPIL,Chemicals
Sree chem Resins Ltd,SRECR,Chemicals
Sree Jayalakshmi Autospin Ltd.,SREEJAYA,Textiles
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD,Chemicals
Sreeleathers Limited,SREEL,Consumer Durables
SREI Infrastructure Finance limited,SREINFRA,Financial Services
Srestha Finvest Limited,SRESTHA,Financial Services
"SRF Ltd.,",SRF,Chemicals
SRG Housing Finance Limited,SRGHFL,Financial Services
Sri Adhikari Brothers Television Ne,SABTN,"Media, Entertainment & Publication"
SRI AMARNATH FINANCE LIMITED,AMARNATH,Financial Services
SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,HAVISHA,"Oil, Gas & Consumable Fuels"
Sri KPR Industries Ltd,SRIKPRIND,Capital Goods
Sri Lakshmi Saraswathi Textiles (Ar,SLSTLQ,Textiles
Sri Nachammai Cotton Mills Ltd.,SRINACHA,Textiles
Sri Ramakrishna Mills (Coimbatore) Ltd.,SRMCL,Textiles
SRM Energy Limited,SRMENERGY,Power
SRU Steels Limited,SRUSTEELS,Services
SSPDL Limited,SSPDL,Realty
SSPN Finance Limited,SSPNFIN,Financial Services
Stampede Capital Limited,SCAPDVR,Financial Services
"Standard Batteries Ltd.,",STDBAT,Financial Services
Standard Capital Markets Ltd.,STANCAP,Financial Services
Standard Industries Ltd.,SIL,Textiles
Standard Shoe Sole and Mould (India) Ltd,STDSHOE,Chemicals
Standard Surfactants Ltd.,STDSFAC,Chemicals
Stanrose Mafatlal Investments & Fin,STANROS,Financial Services
Star Cement Limited,STARCEMENT,Construction Materials
STAR DELTA TRANSFORMERS LIMITED,STARDELTA,Capital Goods
Star Health and Allied Insurance Company Limited,STARHEALTH,Financial Services
STAR HOUSING FINANCE LIMITED,STARHFL,Financial Services
Star Paper Mills Ltd.,STARPAPER,Forest Materials
Starcom Information Technology Ltd,STARCOM,Information Technology
STARLINEPS ENTERPRISES LIMITED,STARLENT,Metals & Mining
Starlit Power Systems Limited,STARLIT,Automobile and Auto Components
Starlog Enterprises Limited,STARLOG,Services
STARTECK FINANCE LIMITED,STARTECK,Financial Services
"State Bank Of India,",SBIN,Financial Services
State Trading Corporation of India,STCINDIA,Services
"Steel Authority of India Ltd.,",SAIL,Metals & Mining
Steel Exchange India Ltd.,STEELXIND,Capital Goods
Steel Strips & Wheels Ltd,SSWL,Automobile and Auto Components
Steel Strips Infrastructures Limited,STLSTRINF,Realty
Steelcast Ltd.,STEELCAS,Capital Goods
STEL Holdings Limited,STEL,Financial Services
STELLAR CAPITAL SERVICES LIMITED,STELLAR,Financial Services
Step Two Corporation Ltd.,STEP2COR,Financial Services
STEPHANOTIS FINANCE LIMITED,STEPHANOTIS,Financial Services
STERLING AND WILSON RENEWABLE ENERGY LIMITED,SWSOLAR,Construction
Sterling Green  Woods  Limited,STRGRENWO,Consumer Services
Sterling Guarantee & Fin. Ltd,STRLGUA,Financial Services
Sterling Tools Ltd.,STERTOOLS,Automobile and Auto Components
Sterlite Technologies Limited.,STLTECH,Telecommunication
STL Global Ltd,SGL,Textiles
STOVE KRAFT LIMITED,STOVEKRAFT,Consumer Durables
Stovec Industries Ltd.,STOVACQ,Capital Goods
STRATMONT INDUSTRIES LIMITED,STRATMONT,Services
STRIDES PHARMA SCIENCE LIMITED,STAR,Healthcare
Sturdy Industries Ltd.,STURDY,Capital Goods
Stylam Industries Limited,STYLAMIND,Forest Materials
Subex  Ltd,SUBEX,Information Technology
Subhash Silk Mills Ltd.,SUBSM,Textiles
"Subros Ltd.,",SUBROS,Automobile and Auto Components
Suchitra Finance & Trading Company Limited,SUCHITRA,Financial Services
Sudal Industries Limited,SUDAI,Metals & Mining
"Sudarshan Chemical Indus. Ltd.,",SUDARSCHEM,Chemicals
Suditi Industries Ltd.,SUDTIND-B,Textiles
Sueryaa Knitwear Limited,SUERYAAKNI,Textiles
Sugal & Damani Share Brokers Ltd.,SUGALDAM,Financial Services
Sujala Trading & Holdings Ltd.,SUJALA,Financial Services
Sukhjit Starch & Chemicals Ltd.,SUKHJITS,Fast Moving Consumer Goods
Sulabh Engineers & Services Limited,SULABEN,Financial Services
Sumedha Fiscal Services Ltd.,SUMEDHA,Financial Services
Sumeet Industries Ltd,SUMEETINDS,Textiles
Sumeru Industries Ltd.,SUMERUIND,Services
SUMITOMO CHEMICAL INDIA LIMITED,SUMICHEM,Chemicals
SUMMIT SECURITIES LTD.,SUMMITSEC,Financial Services
Sun Pharma Advanced Research Company Ltd.,SPARC,Healthcare
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare
Sun Retail Limited,SUNRETAIL,Services
SUN TV NETWORK LIMITED,SUNTV,"Media, Entertainment & Publication"
Suncare Traders Limited,SCTL,Services
Suncity Synthetics Ltd.,SUNCITYSY,Textiles
SUNDARAM BRAKE LININGS LTD,SUNDRMBRAK,Automobile and Auto Components
Sundaram Clayton Ltd.,SUNCLAYLTD,Automobile and Auto Components
SUNDARAM FINANCE LTD,SUNDARMFIN,Financial Services
Sundaram Multi Pap Ltd.,SUNDARAM,Fast Moving Consumer Goods
"Sundram Fasteners Ltd.,",SUNDRMFAST,Automobile and Auto Components
SUNEDISON INFRASTRUCTURE LIMITED,SUNEDISON,Construction
"Sunflag Iron & Steel Co. Ltd.,",SUNFLAG,Metals & Mining
Sungold Capital Ltd.,SUNGOLD,Financial Services
Sungold Media and Entertainment Limited,SMEL,"Media, Entertainment & Publication"
Sunil Agro Foods ltd.,SUNILAGR,Fast Moving Consumer Goods
Sunil Healthcare Limited,SUNLOC,Healthcare
"Sunil Industries Ltd.,",SUNILTX,Services
Sunraj Diamond Exports Ltd.,SUNRAJDI,Consumer Durables
Sunrise Efficient Marketing Limited,SEML,Services
"Sunrise Industrial Traders Ltd.,",SUNRINV,Financial Services
Sunshield Chemicals Ltd.,SUNSHIEL,Chemicals
Sunteck Realty Ltd,SUNTECK,Realty
Super Bakers (India) Ltd.,SUPERBAK,Fast Moving Consumer Goods
Super Crop Safe Ltd.,SUCROSA,Chemicals
SUPER FINE KNITTERS LIMITED,SKL,Consumer Durables
Super Sales India Ltd.,SUPER,Textiles
Super Spinning Mills Ltd.,SUPERSPIN,Textiles
Super Tannery Limited,SUPTANERY,Consumer Durables
Superb Papers Ltd.,SUPRBPA,Forest Materials
Superhouse limited,SUPERHOUSE,Consumer Durables
Superior Finlease Limited,SUPERIOR,Financial Services
Superior Industrial Enterprises Limited,SIEL,Fast Moving Consumer Goods
Supershakti Metaliks Limited,SUPERSHAKT,Capital Goods
Supertex Industries Ltd,SUPERTEX,Textiles
SUPRA PACIFIC MANAGEMENT CONSULTANCY LIMITED,SUPRAP,Financial Services
Supra Trends Limited,SUPRATRE,Financial Services
Suprajit Engineering Ltd.,SUPRAJIT,Automobile and Auto Components
Supreme Holdings & Hospitality (India) Ltd,SUPREME,Realty
"Supreme Industries Ltd.,",SUPREMEIND,Capital Goods
Supreme Infrastructure India Limited,SUPREMEINF,Construction
Supreme Petrochem Ltd.,SPLPETRO,Chemicals
Supremex Shine Steels Limited,SUPREMEX,Capital Goods
Supriya Lifescience Limited,SUPRIYA,Healthcare
"Suraj Industries Limited.,",SURJIND,Fast Moving Consumer Goods
Suraj Ltd.,SURAJLTD,Capital Goods
Suraj Products Ltd.,SURAJ,Capital Goods
Surana Solar Limited,SURANASOL,Capital Goods
Surana Telecom And Power Limited,SURANAT&P,Power
Surat Textile Mills Ltd,SURATEX,Textiles
SURATWWALA BUSINESS GROUP LIMITED,SBGLP,Realty
Surbhi Industries Limited,SURBHIN,Textiles
Surya India Limited,SURYAINDIA,Financial Services
"Surya Roshni Ltd.,",SURYAROSNI,Capital Goods
Suryaamba Spinning Mills Limited,SURYAAMBA,Textiles
Suryachakra Power Corporation Ltd.,SURYACHAKRA,Power
"Suryakripa Finance Ltd.,",SURYAKR,Services
Suryalakshmi Cotton Mills Ltd.,SURYALAXMI,Textiles
"Suryalata Spinning Mills Ltd.,",SURYALA,Textiles
"Suryavanshi Spinning Mills Ltd.,",SURYVANSP,Textiles
Suryo Foods & Industries Ltd.,SURFI,Fast Moving Consumer Goods
Suryoday Small Finance Bank Limited,SURYODAY,Financial Services
SUTLEJ TEXTILES & INDUSTRIES LIMITED,SUTLEJTEX,Textiles
SUUMAYA CORPORATION LIMITED,SUUMAYA,Textiles
Suven Life Sciences Ltd.,SUVEN,Healthcare
SUVEN PHARMACEUTICALS LIMITED,SUVENPHAR,Healthcare
Suvidha Infraestate Corporation Limited,SICL,Realty
Suvidhaa Infoserve Limited,SUVIDHAA,Financial Services
Suyog Gurbaxani Funicular Ropeways Limited,SGFRL,Construction
Suyog Telematics Limited,SUYOG,Telecommunication
SUZLON ENERGY LTD.,SUZLON,Capital Goods
SVA India Ltd,SVAINDIA,Services
Svam Software Ltd,SVAMSOF,Information Technology
"Svaraj Trading & Agencies Ltd.,",ZSVARAJT,Financial Services
SVC INDUSTRIES LIMITED,SVCIND,Services
SVP GLOBAL TEXTILES LIMITED,SVPGLOB,Textiles
SVP Housing Limited,SVPHOUSING,Services
SW Investments Limited,SW1,Services
Swagtam Trading & Services Limited,SWAGTAM,Services
Swan Energy Ltd.,SWANENERGY,Textiles
Swaraj Engines Ltd.,SWARAJENG,Capital Goods
Swarna Securities Ltd.,SWRNASE,Financial Services
SWARNSARITA JEWELS INDIA LIMITED,SWARNSAR,Consumer Durables
Swasti Vinayaka Art And Heritage Corporation Ltd,SVARTCORP,Diversified
"Swasti Vinayaka Synthetics Ltd.,",SWASTIVI,Textiles
Swastik Safe Deposit & Invest. Ltd.,ZSWASTSA,Financial Services
Swastika Investmart Ltd,SWASTIKA,Financial Services
Swelect Energy Systems Limited,SWELECTES,Capital Goods
SWISS MILITARY CONSUMER GOODS LIMITED,SWISSMLTRY,Consumer Durables
Switching Technologies Gunther Ltd.,SWITCHTE,Capital Goods
Sword-Edge Commercials Limited,SWORDEDGE,Services
Sybly Industries Ltd.,SYBLY,Textiles
Sylph Technologies Ltd,SYLPH,Information Technology
Symbiox Investment & Trading Co. Ltd.,SYMBIOX,Financial Services
Symphony Limited,SYMPHONY,Consumer Durables
Syncom Formulations (India) Ltd.,SYNCOMF,Healthcare
Synergy Green Industries Limited,SGIL,Capital Goods
Syngene International Limited,SYNGENE,Healthcare
"Synthiko Foils Ltd.,",SYNTHFO,Metals & Mining
Syschem (India) Ltd.,SYSCHEM,Healthcare
Systematix Corporate Services Ltd.,SYSTMTXC,Financial Services
Systematix Securities Ltd.,SYTIXSE,Financial Services
T & I Global Ltd.,TIGLOB,Capital Goods
